type,epic,feature,item_id,priority,release,size,title,description,acceptance_criteria
US,E1 — Sessions & Core Gameplay Loop (MVP),Boucle de tour,US-014,P0,MVP,L,Tour : dashboard → événements → décisions → résolution → feedback,,"AC1 When décision validée, Then calcul moteur + passage tour N+1 | AC2 Then feedback résume variations majeures"
US,E1 — Sessions & Core Gameplay Loop (MVP),Boucle de tour,US-015,P1,V1,M,Timer de tour (synchrone multijoueur),,"AC1 When timer expire, Then auto-submit selon règles (dernière décision ou défaut)"
US,E2 — Moteur de simulation (MVP → V2),Indices & P&L,US-020,P0,MVP,L,Calcul des 7 indices + P&L pédagogique,"Indices : IAC, IPQO, IERH, IRF, IMD, IS, IPP","AC1 Then chaque levier impacte au moins un indice | AC2 Then P&L inclut primes, sinistres, frais, réassurance (niveau macro)"
US,E2 — Moteur de simulation (MVP → V2),Multi-produits (scope 1+),US-021,P0,MVP,L,Calculs par produit + agrégation compagnie,,"AC1 Given Auto+MRH, When décision RH/IT, Then impact partagé (capacité/qualité) | AC2 When tarif Auto change, Then métriques Auto évoluent sans écraser MRH"
US,E2 — Moteur de simulation (MVP → V2),Multi-produits (scope 1+),US-022,P0,MVP,M,"Ressources communes (budget, effectifs, IT/Data) “compétitionnent” entre produits",,AC1 Then l’allocation budget affiche consommation/solde et impacts
US,E2 — Moteur de simulation (MVP → V2),Effets retard & persistance,US-023,P0,MVP,L,Effets retard paramétrés par vitesse,"RH : ~2 tours (trimestre), IT/Data : 3–6, prévention : 4–8, réputation : 1–3",AC1 Then UI indique « effet différé attendu »
US,E2 — Moteur de simulation (MVP → V2),Effets retard & persistance,US-024,P0,MVP,L,Persistance relative + compensation possible (coût croissant),,AC1 Then la correction est possible mais plus chère si tardive | AC2 Then historique des décisions accessible
US,E2 — Moteur de simulation (MVP → V2),Leviers progressifs,US-025,P0,MVP,M,Fraude niveau 1 (quick wins),,AC1 Then effet rapide mais plafonné
US,E2 — Moteur de simulation (MVP → V2),Leviers progressifs,US-026,P1,V1,L,Fraude niveaux 2 & 3 avec prérequis (outillage/data/formation),,AC1 Then N2 nécessite budget+process/formation | AC2 Then N3 nécessite maturité data + inertie + ROI différé
US,E2 — Moteur de simulation (MVP → V2),Concurrence / IA,US-027,P1,MVP,M,Concurrents IA « simple » (réagit aux prix/parts),,AC1 Then le marché évolue même sans action joueur
US,E2 — Moteur de simulation (MVP → V2),Concurrence / IA,US-028,P2,V2,L,IA concurrente « stratégique » (profils),,AC1 Then profils (agressif/prudent/data-driven) sont différenciés
US,E3 — Expérience Joueur & UI Cockpit (MVP),Dashboard principal enrichi (cockpit),US-030,P0,MVP,L,Dashboard : indices + P&L + alertes + **batterie d’indicateurs** par produit + total,Indicateurs MVP minimum : Nb contrats (par produit + total) Primes collectées (par produit + total) Stock sinistres (par produit + total) Effectif total + répartition macro (sinistres/distribution/data-IT/support),"AC1 Then affichage « grille produits » + total | AC2 Then niveau détail varie selon difficulté (novice macro, intermédiaire +)"
US,E3 — Expérience Joueur & UI Cockpit (MVP),Dashboard principal enrichi (cockpit),US-031,P1,MVP,M,Séries temporelles (indices & P&L),,AC1 Then visualisation par tour (courbe)
US,E3 — Expérience Joueur & UI Cockpit (MVP),Alertes & recommandations,US-032,P0,MVP,M,"Alertes (goulot RH, dérive stock sinistres, résilience faible, dette IT)",,"AC1 When seuil franchi, Then alerte affiche cause probable + leviers conseillés"
US,E3 — Expérience Joueur & UI Cockpit (MVP),Écran événements,US-033,P0,MVP,M,News flash + détails (impact + durée),,AC1 Then l’événement indique « marché » ou « compagnie »
US,E3 — Expérience Joueur & UI Cockpit (MVP),Écran décisions (leviers),US-034,P0,MVP,L,Décisions avec gating selon difficulté,,AC1 Novice : leviers macro | AC2 Intermédiaire : leviers supplémentaires + granularité
US,E3 — Expérience Joueur & UI Cockpit (MVP),Écran décisions (leviers),US-035,P1,MVP,M,Indication directionnelle d’impact (↑/↓ + délai),,AC1 Then indique incertitude / retard (sans promesse de formule)
US,E3 — Expérience Joueur & UI Cockpit (MVP),Vue marché,US-036,P0,MVP,M,Parts de marché + prix moyens + tendances (par produit + global),,AC1 Then tableau comparatif joueur vs marché
US,E3 — Expérience Joueur & UI Cockpit (MVP),Explainability,US-037,P0,MVP,M,« Pourquoi ça bouge ? » (top 3 drivers) pour variations majeures,,AC1 Then drivers = décisions / événements / effets retard
US,E3 — Expérience Joueur & UI Cockpit (MVP),Explainability,US-038,P1,V1,M,Timeline de relecture tour par tour,,AC1 Then navigation rapide N→N+1 et filtres par produit
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Compagnies jouables,US-040,P0,MVP,M,18 fiches compagnies + traits appliqués au moteur,,AC1 Then chaque compagnie a au moins 3 traits ayant un effet moteur
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Produits,US-041,P0,MVP,L,Produits jouables MVP : Auto + MRH,,AC1 Then métriques & leviers dédiés existent pour chaque produit
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Produits,US-042,P1,V1,L,Produits jouables V1 : PJ + GAV,,AC1 Then ajout sans casser Auto/MRH (design modulaire)
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Catalogue d’événements (marché vs compagnie),US-043,P0,MVP,L,"Événements « marché » : climat, inflation, réglementation, disrupteur, mutation parc auto",,AC1 Then s’appliquent à tous avec modulation par stratégie
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Catalogue d’événements (marché vs compagnie),US-044,P0,MVP,M,Événements « compagnie » : au moins cyber/panne SI + 1 autre,,AC1 Then déclenchement influencé par vulnérabilités (ex IMD faible)
US,"E4 — Contenu : compagnies, produits, événements, scénarios",Scénarios,US-045,P1,V1,M,Scénarios thématiques préconfigurés,,AC1 Then objectifs + pondérations scoring spécifiques
US,"E5 — Scoring, progression & Debrief (MVP → V1)",Scoring,US-050,P0,MVP,M,Score global (pondération indices + objectifs),,AC1 Then score final explicable (composants visibles)
US,"E5 — Scoring, progression & Debrief (MVP → V1)",Scoring,US-051,P1,V1,S,Pondérations variables selon mode (survie vs standard),,AC1 Then mode survie valorise IRF + IPQO
US,"E5 — Scoring, progression & Debrief (MVP → V1)",Debrief & export,US-052,P0,MVP,M,Debrief fin de partie : décisions clés + impacts immédiats/différés + biais,,AC1 Then liste « top 5 décisions déterminantes »
US,"E5 — Scoring, progression & Debrief (MVP → V1)",Debrief & export,US-053,P0,MVP,M,Export PDF simple,,"AC1 Then PDF contient : contexte, courbes indices, P&L macro, top événements, score"
US,"E5 — Scoring, progression & Debrief (MVP → V1)",Debrief & export,US-054,P1,V1,M,Debrief séminaire / équipes,,AC1 Then distribution des choix par équipe + comparaison
US,E6 — Admin B2B (MVP → V2),Gestion sessions & participants,US-060,P0,MVP,M,Admin : gérer participants (import/invite) et rôles,,AC1 Then observateur n’a pas accès à la soumission de décisions
US,E6 — Admin B2B (MVP → V2),Gestion sessions & participants,US-061,P1,V1,M,Chef d’équipe (séminaire) : droits de consolidation,,AC1 Then un chef d’équipe peut valider la décision de l’équipe
US,E6 — Admin B2B (MVP → V2),Paramétrage contenu,US-062,P1,V1,L,"Paramétrer pondérations indices, intensité/fréquence événements, réglage réalisme",,AC1 Then warnings si réglage extrême
US,E6 — Admin B2B (MVP → V2),Paramétrage contenu,US-063,P2,V2,M,Branding tenant,,AC1 Then logo/couleurs reflétés dans UI + exports
US,E6 — Admin B2B (MVP → V2),Suivi pédagogique,US-064,P0,MVP,M,"Vue admin : score, complétion, temps/tour, export",,AC1 Then filtre par session / produit / difficulté
US,E7 — Données & instrumentation (MVP → V2),Tracking minimal,US-070,P0,MVP,M,"Event tracking : session_start, turn_start/end, decision_submit, event_triggered, debrief_open, export_pdf",,"AC1 Then chaque événement inclut tenant_id, session_id, user_id (si applicable)"
US,E7 — Données & instrumentation (MVP → V2),Tracking minimal,US-071,P0,MVP,M,Tableau KPI produit (admin),,"AC1 Then KPI : complétion, nb sessions/utilisateur, temps moyen/tour"
US,E7 — Données & instrumentation (MVP → V2),Analytics pédagogiques,US-072,P2,V2,L,KPI pédagogiques : progression par compétence + détection biais,,AC1 Then recommandations “prochaine partie” côté formateur
US,E8 — Multijoueur & Séminaire 200+ (V1),Lobby & équipes,US-080,P0,V1,L,"Lobby multijoueur : rejoindre, former équipes, ready-check",,AC1 Then aucune notion de plafond fonctionnel | AC2 Then gouvernance via équipes & rôles
US,E8 — Multijoueur & Séminaire 200+ (V1),Décision collective & synchronisation,US-081,P0,V1,L,Tour synchrone + décision par équipe (vote ou chef d’équipe),,AC1 Then règles d’égalité définies
US,E8 — Multijoueur & Séminaire 200+ (V1),Observateurs illimités & projection,US-082,P0,V1,M,Rôle Observateur (lecture seule) + mode projection,,AC1 Then UI projection est lisible sur grand écran
US,E8 — Multijoueur & Séminaire 200+ (V1),Outils facilitateur,US-083,P1,V1,M,"Pause, accélération, injection événement, commentaire",,AC1 Then actions facilitateur audit-loggées
US,E8 — Multijoueur & Séminaire 200+ (V1),Classements,US-084,P1,V1,M,Classement live inter-équipes + moments clés,,AC1 Then historique des positions consultable
US,"E9 — Non-fonctionnel, sécurité, conformité, observabilité (MVP → V2)",RGPD & sécurité,US-090,P0,MVP,M,RGPD : minimisation + export/suppression utilisateur,,AC1 Then suppression anonymise les traces non essentielles
US,"E9 — Non-fonctionnel, sécurité, conformité, observabilité (MVP → V2)",RGPD & sécurité,US-091,P0,MVP,M,"Sécurité : RBAC strict + protections de base (rate limiting, brute force)",,AC1 Then tentatives suspectes journalisées
US,"E9 — Non-fonctionnel, sécurité, conformité, observabilité (MVP → V2)",Observabilité,US-092,P0,MVP,M,"Logs techniques + métriques (latence calcul, erreurs)",,AC1 Then dashboard interne “santé moteur”
US,"E9 — Non-fonctionnel, sécurité, conformité, observabilité (MVP → V2)",Scalabilité séminaire,US-093,P1,V1,L,"Optimisation temps réel (fan-out, cache, throttling)",,AC1 Then tests de charge validés pour 200+ participants/observateurs (objectif latence défini)
US,E10 — Onboarding & adoption (MVP → V1),,US-100,P1,MVP,M,Guide in-app (tooltips + checklist première partie),,AC1 Then un novice comprend la boucle en < 5 min
US,E10 — Onboarding & adoption (MVP → V1),,US-101,P1,V1,M,"Kit facilitateur (script, timings, règles)",,AC1 Then exportable/printable
LEVER,Leviers,Leviers Produit (par produit),L-PROD-01,P0,MVP,,Tarif (macro),,
LEVER,Leviers,Leviers Produit (par produit),L-PROD-02,P0,MVP,,Franchise (macro),,
LEVER,Leviers,Leviers Produit (par produit),L-PROD-03,P1,V1,,Segmentation tarifaire (expert),,
LEVER,Leviers,Leviers Produit (par produit),L-PROD-04,P1,V1,,Couverture/garanties avancées,,
LEVER,Leviers,Distribution,L-DIST-01,P0,MVP,,Mix canaux (macro),,
LEVER,Leviers,Distribution,L-DIST-02,P0,MVP,,Commissions (macro),,
LEVER,Leviers,Distribution,L-DIST-03,P1,V1,,Incentives avancés par canal,,
LEVER,Leviers,Marketing,L-MKT-01,P0,MVP,,Campagne marque vs activation,,
LEVER,Leviers,Marketing,L-MKT-02,P1,V1,,Ciblage (selon difficulté),,
LEVER,Leviers,RH,L-RH-01,P0,MVP,,Recrutement par macro-pôle,,
LEVER,Leviers,RH,L-RH-02,P0,MVP,,Formation,,
LEVER,Leviers,RH,L-RH-03,P1,V1,,QVT / rémunération fine,,
LEVER,Leviers,IT/Data,L-IT-01,P0,MVP,,Invest SI (stabilité/sécurité),,
LEVER,Leviers,IT/Data,L-DATA-01,P0,MVP,,Qualité data/gouvernance (macro),,
LEVER,Leviers,IT/Data,L-AI-01,P1,V1,,Cas d’usage (triage/fraude) sous prérequis,,
LEVER,Leviers,Prestataires/partenaires,L-PART-01,P0,MVP,,Internaliser vs externaliser (macro),,
LEVER,Leviers,Prestataires/partenaires,L-PART-02,P1,V1,,SLA/bonus-malus,,
LEVER,Leviers,Sinistres & fraude,L-SIN-01,P0,MVP,,Capacité sinistres (via RH),,
LEVER,Leviers,Sinistres & fraude,L-FRAUDE-01,P0,MVP,,Fraude N1,,
LEVER,Leviers,Sinistres & fraude,L-FRAUDE-02,P1,V1,,Fraude N2,,
LEVER,Leviers,Sinistres & fraude,L-FRAUDE-03,P1,V1,,Fraude N3,,
LEVER,Leviers,Réassurance,L-REASS-01,P0,MVP,,Niveau de protection (macro),,
LEVER,Leviers,Réassurance,L-REASS-02,P1,V1,,Types de traités (avancé),,
LEVER,Leviers,Prévention,L-PREV-01,P0,MVP,,"Prévention (macro, effet retard)",,
LEVER,Leviers,Prévention,L-PREV-02,P1,V1,,Prévention data-driven,,
LEVER,Leviers,Provisions & placements,L-PROV-01,P0,MVP,,Provisionnement prudent vs agressif,,
LEVER,Leviers,Provisions & placements,L-INV-01,P0,MVP,,Allocation prudente vs risquée,,
